Date,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10,average,Label2,Label3
2015-04-19,Brazil's Harvest Plan to be announced by President Rousseff May 19,Brazilian Soy Producers Face Higher Fertilizer and Fuel Costs,Brazilian Truck Drivers Threaten new Strike/Blockades this Week,Supreme Court asked to allow Non-Brazilians to Purchase Land,Volunteer Corn Becoming more of a Problem in Brazilian Soy Fields,Record Production Resulting in Mountains of Soybeans in Argentina,Truckers in Brazil Resume Strike over lack of Minimum Freight Rate,,,,"3,72",0,-1
2015-04-22,Record Production Resulting in Mountains of Soybeans in Argentina,Brazilian Soy Producers Face Higher Fertilizer and Fuel Costs,Brazil's Harvest Plan to be announced by President Rousseff May 19,Truckers in Brazil Resume Strike over lack of Minimum Freight Rate,Farmers in Argentina hopeful new President will lower Export Taxes,,,,,,"3,66",0,0
2015-05,Mato Grosso Debating 9% Export Tax on Soybeans and Corn,Brazil's Harvest Plan Barely keeps pace with Inflation and Costs,Soybean-Free Period to Start in Mato Grosso on June 1st,Forward Selling of Corn in Brazil Remains Slow,U.S. Corn and Soybean Planting Continue ahead of the Average Pace,Amount of Soybeans Barged down Madeira River Increasing,Ag Cooperatives in Rio Grande do Sul Increase Market Share,Soybeans in Brazil will start to Flow like the Water - Down River,Mato Grosso Corn Farmers have good Yields and Low Prices,Increase in Minimum Wheat Price not enough say Brazilian Farmers,"9,72",0,0
2015-05,Mato Grosso Debating 9% Export Tax on Soybeans and Corn,Brazil's Harvest Plan Barely keeps pace with Inflation and Costs,Early Corn Harvest in Parana Underway,U.S. Corn Condition Rating holds Steady,Early Safrinha Corn Harvest Underway in Brazil,Forward Selling of Corn in Brazil Remains Slow,U.S. Corn and Soybean Planting Continue ahead of the Average Pace,Ag Cooperatives in Rio Grande do Sul Increase Market Share,Mato Grosso Corn Farmers have good Yields and Low Prices,Increase in Minimum Wheat Price not enough say Brazilian Farmers,"3,67",0,-1
2015-05-01,U.S. Corn Planting Surges Past 50% with Good Weather,Brazilian Farmers now Worried about Stronger Brazilian Currency,Labor Unrest in South America Shifts from Brazil to Argentina,Algerian Company to build Ag Processing Facility in Mato Grosso,Brazil Prepares Case against U.S. Concerning Illegal Ag Subsidizes,Sorghum can be used in Sugar Mills to Generate Electricity,Labor Unrest Spreads across Argentina,Wheat Planting in Parana getting off to a Delayed Start,Soybean Farmers in Uruguay facing tight or nonexistent Margins,State of Tocantins in NE Brazil is emerging Soybean Producer,"3,63",0,0
2015-05-04,Labor Unrest in South America Shifts from Brazil to Argentina,U.S. Corn Planting Surges Past 50% with Good Weather,Brazil Prepares Case against U.S. Concerning Illegal Ag Subsidizes,Algerian Company to build Ag Processing Facility in Mato Grosso,State of Tocantins in NE Brazil is emerging Soybean Producer,Soybean Farmers in Uruguay facing tight or nonexistent Margins,Sorghum can be used in Sugar Mills to Generate Electricity,Winter Wheat Planting underway in Parana in Southern Brazil,Labor Unrest Spreads across Argentina,Railroad connecting Mato Grosso to Amazon River moving Forward,"3,63",1,0
2015-05-07,ADM starts Sustainable Soybean Production Program in Brazil,Corn prices fall in southern Goias,Winter Wheat Planting underway in Parana in Southern Brazil,Labor Unrest Spreads across Argentina,"If the Weather Cooperates, Brazil could produce Record Wheat Crop","2015 U.S. Acreage, Yields, and Production Estimates",2015 U.S. Acreage Yields and Production Estimates,If the Weather Cooperates Brazil could produce Record Wheat Crop,Sorghum can be used in Sugar Mills to Generate Electricity,Railroad connecting Mato Grosso to Amazon River moving Forward,"3,62",1,0
2015-05-10,ADM starts Sustainable Soybean Production Program in Brazil,Corn prices fall in southern Goias,"If the Weather Cooperates, Brazil could produce Record Wheat Crop",Brazilian Government Increases Minimum Price for Wheat,Conab Increases Brazilian Soy Production Lowers Corn Production,If the Weather Cooperates Brazil could produce Record Wheat Crop,Wet Weather Worries Cotton Producers in Mato Grosso,2015 U.S. Acreage Yields and Production Estimates,"2015 U.S. Acreage, Yields, and Production Estimates","Conab Increases Brazilian Soy Production, Lowers Corn Production","3,63",0,0
2015-05-16,Release of Brazil's 2015/16 Harvest Plan Postponed,Soybeans in Brazil will start to Flow like the Water - Down River,Ports in Argentina encounter a series of Setbacks,U.S. Planting Progress continues Ahead of Average,Mato Grosso Corn Farmers have good Yields and Low Prices,Port of Paranagua Strives to Improve its Handling of Fertilizers,Increase in Minimum Wheat Price not enough say Brazilian Farmers,"Brazil and China Agree on Feasibility Study for ""Mega Railroad""",Ag Cooperatives in Rio Grande do Sul Increase Market Share,,"3,63",0,-1
2015-05-19,Ports in Argentina encounter a series of Setbacks,Ag Cooperatives in Rio Grande do Sul Increase Market Share,Port of Paranagua Strives to Improve its Handling of Fertilizers,Soybeans in Brazil will start to Flow like the Water - Down River,"Brazil and China Agree on Feasibility Study for ""Mega Railroad""",Release of Brazil's 2015/16 Harvest Plan Postponed,U.S. Planting Progress continues Ahead of Average,Mato Grosso Corn Farmers have good Yields and Low Prices,,,"3,62",0,-1
2015-05-22,Ports in Argentina encounter a series of Setbacks,U.S. Corn and Soybean Planting Continue ahead of the Average Pace,Amount of Soybeans Barged down Madeira River Increasing,Viability Studies for Ferronorte Railroad to be completed in August,Ag Cooperatives in Rio Grande do Sul Increase Market Share,Labor Unrest Continues in Argentina,Forward Selling of Corn in Brazil Remains Slow,,,,"3,54",1,0
2015-05-25,U.S. Corn and Soybean Planting Continue ahead of the Average Pace,Amount of Soybeans Barged down Madeira River Increasing,Labor Unrest Continues in Argentina,Soybean-Free Period to Start in Mato Grosso on June 1st,Forward Selling of Corn in Brazil Remains Slow,Viability Studies for Ferronorte Railroad to be completed in August,,,,,"3,52",1,1
2015-05-28,Brazilian Farmers Slow to Purchase their 2015/16 Inputs,Soybean-Free Period to Start in Mato Grosso on June 1st,Forward Selling of Corn in Brazil Remains Slow,Early Safrinha Corn Harvest Underway in Brazil,U.S. Corn Condition Rating holds Steady,2015 U.S. Planting Progress now only Slightly Ahead of Average,Brazil Identifies R$ 195 Billion in needed Infrastructure Projects,New Agricultural and Livestock Plan in Brazil Mixed Bag,,,"3,55",1,1
2015-05-31,Brazil's Harvest Plan Barely keeps pace with Inflation and Costs,Brazilian Farmers Delay Input Purchases due to Lack of Credit,Brazilian Farmers Slow to Purchase their 2015/16 Inputs,U.S. Corn Condition Rating holds Steady,2015 U.S. Planting Progress now only Slightly Ahead of Average,Brazil Identifies R$ 195 Billion in needed Infrastructure Projects,Early Corn Harvest in Parana Underway,Early Safrinha Corn Harvest Underway in Brazil,New Agricultural and Livestock Plan in Brazil Mixed Bag,,"3,59",1,0
2015-06,June Acreage Report Overestimates Harvested Acreage,Trip Report - Indiana and Ohio,Corn Condition Improves Slightly Soybean Condition Holds Steady,Brazilian Farmers have Sold 17% of their 2015/16 Soy Production,Brazil sets new Monthly Record for Soybean and Poultry Exports,Brazilian Farmers seen as Increasing Soy Acreage 1%-5% in 2015/16,Trip Report - Illinois Iowa Missouri,U.S. Crop Conditions Decline again due to Wetness,Chemicals used to Control Soy Rust in Brazil losing Effectiveness,Parana may Follow M. Grosso in Limiting Safrinha Soy Production,"9,41",0,-1
2015-06,June Acreage Report Overestimates Harvested Acreage,Areas of Concern for the 2015 U.S. Crops,Trip Report - Indiana and Ohio,Corn Condition Improves Slightly Soybean Condition Holds Steady,Brazilian Farmers have Sold 17% of their 2015/16 Soy Production,Farmers in Mato Grosso busy Harvesting Corn and Cotton,Trip Report - Illinois Iowa Missouri,U.S. Crop Conditions Decline again due to Wetness,Parana may Follow M. Grosso in Limiting Safrinha Soy Production,Areas of Concern for the 2015 U.S. Corn and Soybean Crops,"3,6",0,-1
2015-06-03,Brazil's Harvest Plan Barely keeps pace with Inflation and Costs,New Agricultural and Livestock Plan in Brazil Mixed Bag,Sugarcane Processing in Brazil could be impacted by Wet Weather,Early Corn Harvest in Parana Underway,2015 U.S. Planting Progress now only Slightly Ahead of Average,Brazilian Farmers Delay Input Purchases due to Lack of Credit,Brazilian Ranchers to place more Cattle in Feedlots in 2015,U.S. Corn Condition Rating holds Steady,Mato Grosso Debating 9% Export Tax on Soybeans and Corn,,"3,63",0,-1
2015-06-06,Safrinha Corn Crop in Mato Grosso and Brazil getting Bigger,Corn Rating Holds Steady 1st Soybean Rating Below Expectations,Mato Grosso Debating 9% Export Tax on Soybeans and Corn,Sugarcane Processing in Brazil could be impacted by Wet Weather,2015 U.S. Corn Planting 100% Soybeans 79%,Brazilian Ranchers to place more Cattle in Feedlots in 2015,"2015 U.S. Corn Planting 100%, Soybeans 79%","Corn Rating Holds Steady, 1st Soybean Rating Below Expectations",,,"3,59",0,0
2015-06-12,Brazilian Farmers have high Expectations for Safrinha Corn Crop,"Brazil's Original ""King of Soybeans"" dies at 84",2015/16 Crop Input Purchases in Brazil Remain Sluggish,2015/16 Mato Grosso Soybean Expansion Estimated at 1.8%,Trip Report - Illinois and western Indiana,2014/15 Brazilian Corn Estimate Increased 2.5 mt to 81.5 Million,,,,,"3,54",1,1
2015-06-15,"Brazil's Original ""King of Soybeans"" dies at 84",2015/16 Mato Grosso Soybean Expansion Estimated at 1.8%,Fertilizer Distribution in Brazil down 12% thus far in 2015,2014/15 Brazilian Corn Estimate Increased 2.5 mt to 81.5 Million,Brazilian Farmers have high Expectations for Safrinha Corn Crop,Trip Report - Illinois and western Indiana,2015/16 Crop Input Purchases in Brazil Remain Sluggish,,,,"3,55",1,1
2015-06-18,Fertilizer Distribution in Brazil down 12% thus far in 2015,Brazilian Wheat Imports Expected to decline in 2015,U.S. Crop Conditions Decline due to Wetness,Brazilian Farmers have high Expectations for Safrinha Corn Crop,Moderate El Nino Expected to Last Through the Summer Months,"June Crop Report will not be ""Last Word"" on 2015 Acreage","Brazil's Original ""King of Soybeans"" dies at 84",New Infrastructure Program in Brazil hoping for Better Results,Brazil's Safrinha Corn Crop Exceeding Expectations,,"3,61",1,1
2015-06-21,Brazilian Wheat Imports Expected to decline in 2015,Moderate El Nino Expected to Last Through the Summer Months,"Sales of Crop Inputs Increasing in Brazil, but Still Lags Last Year",New Infrastructure Program in Brazil hoping for Better Results,Brazil's Safrinha Corn Crop Exceeding Expectations,Parana may Follow M. Grosso in Limiting Safrinha Soy Production,"June Crop Report will not be ""Last Word"" on 2015 Acreage",Areas of Concern for the 2015 U.S. Corn and Soybean Crops,Sales of Crop Inputs Increasing in Brazil but Still Lags Last Year,U.S. Crop Conditions Decline due to Wetness,"3,72",1,1
2015-06-24,"Sales of Crop Inputs Increasing in Brazil, but Still Lags Last Year",Moderate El Nino Expected to Last Through the Summer Months,Sales of Crop Inputs Increasing in Brazil but Still Lags Last Year,Areas of Concern for the 2015 U.S. Corn and Soybean Crops,U.S. Crop Conditions Decline due to Wetness,"June Crop Report will not be ""Last Word"" on 2015 Acreage",Chemicals used to Control Soy Rust in Brazil losing Effectiveness,Parana may Follow M. Grosso in Limiting Safrinha Soy Production,,,"3,88",1,1
2015-06-27,Chemicals used to Control Soy Rust in Brazil losing Effectiveness,U.S. Crop Conditions Decline again due to Wetness,Trip Report - Illinois Iowa Missouri,Farmers in Mato Grosso busy Harvesting Corn and Cotton,"Trip Report - Illinois, Iowa, Missouri",Credit from Brazil's 2015-2016 Harvest Plan now Available,,,,,"4,15",1,1
2015-06-30,Chemicals used to Control Soy Rust in Brazil losing Effectiveness,Brazilian Farmers seen as Increasing Soy Acreage 1%-5% in 2015/16,Credit from Brazil's 2015-2016 Harvest Plan now Available,Trip Report - Illinois Iowa Missouri,Farmers in Mato Grosso busy Harvesting Corn and Cotton,"Trip Report - Illinois, Iowa, Missouri",U.S. Crop Conditions Decline again due to Wetness,,,,"4,24",1,1
2015-07,Corn price in Mato Grosso improve due to Weaker Currency,Soybeans Enters Second Century of Production in Rio Grande do Sul,U.S. Corn Condition Unchanged Soybean Condition Up Slightly,Areas of Concern for the 2015 U.S. Crops,Corn-Based Ethanol Production Promoted in Mato Grosso,Brazil Corn Exports could Set New Record in 2015,Corn Condition Improves Slightly Soybean Condition Unchanged,Areas of Concern for the 2015 U.S. Crops,Survey for August Crop Report now Underway,Piles of Corn grow at Grain Elevators in Mato Grosso,"3,85",1,1
2015-07,Corn price in Mato Grosso improve due to Weaker Currency,Soybeans Enters Second Century of Production in Rio Grande do Sul,"Brazil's ""Soybean Highway"" Frustrates Farmers in Mato Grosso",U.S. Corn Condition Unchanged Soybean Condition Up Slightly,Corn-Based Ethanol Production Promoted in Mato Grosso,Corn Condition Improves Slightly Soybean Condition Unchanged,Survey for August Crop Report now Underway,Brazilian Currency Devalued 4.79% Last Week Lifting Soy Prices,Soaring Electricity Costs Impacting Brazilian Agriculture,Trip Report - Illinois ,"9,89",1,1
2015-07-03,Corn Condition Improves Slightly Soybean Condition Holds Steady,"Corn Condition Improves Slightly, Soybean Condition Holds Steady",June Acreage Report Overestimates Harvested Acreage,Brazil sets new Monthly Record for Soybean and Poultry Exports,Brazilian Farmers have Sold 17% of their 2015/16 Soy Production,Brazilian Farmers seen as Increasing Soy Acreage 1%-5% in 2015/16,Trip Report - Indiana and Ohio,,,,"4,26",1,1
2015-07-09,June Acreage Report Overestimates Harvested Acreage,Safrinha Corn Harvest in Brazil Slowed by Wet Weather,El Nino could bring Wet Weather and Problems to Southern Brazil,Conab Increases Brazil's Soybean and Corn Estimates,Ag Equipment Sales in Brazil during First Semester Down 25%,,,,,,"4,32",0,-1
2015-07-12,Safrinha Corn Harvest in Brazil Slowed by Wet Weather,Port of Paranagua Greatly Improves Receiving Facilities,Conab Increases Brazil's Soybean and Corn Estimates,Wet Weather Continues to slow Safrinha Corn Harvest in Brazil,Mato Grosso Leads Brazil in Soybean and Fish Production,El Nino could bring Wet Weather and Problems to Southern Brazil,,,,,"4,3",0,-1
2015-07-15,Safrinha Corn Harvest in Brazil Slowed by Wet Weather,Agriculture is 46% of Brazil's Exports during first Semester of 2015,FAO Predicts continued Agricultural Expansion in Brazil,El Nino could bring Wet Weather and Problems to Southern Brazil,Mato Grosso Leads Brazil in Soybean and Fish Production,Conab Increases Brazil's Soybean and Corn Estimates,El Nino could have a Significant Impact in Brazil in late 2015,Port of Paranagua Greatly Improves Receiving Facilities,Wet Weather Continues to slow Safrinha Corn Harvest in Brazil,,"4,18",0,-1
2015-07-21,New Port in Northern Brazil to Rival Biggest Grain Ports in Brazil,Trip Report - Illinois,Brazilian Currency Devalued 4.79% Last Week Lifting Soy Prices,Condition of U.S. Corn Improves Slightly Soybeans Hold Steady,Soaring Electricity Costs Impacting Brazilian Agriculture,Trip Report - Illinois ,Agriculture is 46% of Brazil's Exports during first Semester of 2015,"Condition of U.S. Corn Improves Slightly, Soybeans Hold Steady",El Nino could have a Significant Impact in Brazil in late 2015,Rains in Rio Grande do Sul impeding Wheat Planting,"3,96",0,-1
2015-07-24,Survey for August Crop Report now Underway,New Port in Northern Brazil to Rival Biggest Grain Ports in Brazil,"Corn Condition Improves Slightly, Soybean Condition Unchanged",Brazilian Currency Devalued 4.79% Last Week Lifting Soy Prices,Piles of Corn grow at Grain Elevators in Mato Grosso,Corn Condition Improves Slightly Soybean Condition Unchanged,Corn Harvest in Mato Grosso Advances to 65% Complete,,,,"3,76",0,-1
2015-07-30,Brazilian Farmers not required to Purchase Annual License Plates,Ariel photo tour of Indiana and Illinois,"U.S. Corn Condition Unchanged, Soybean Condition Up Slightly",Brazil Corn Exports could Set New Record in 2015,Corn Harvest in Mato Grosso Advances to 65% Complete,Corn-Based Ethanol Production Promoted in Mato Grosso,U.S. Corn Condition Unchanged Soybean Condition Up Slightly,,,,"3,7",1,0
2015-08,Farmers in Mato Grosso do Sul have sold 27% of 2015/16 Soy Crop,Cotton Acreage in Mato Grosso to Increase 2%,Dry Beans in Brazil losing Acreage to Soybeans,Month-By-Month Crop Production Cycle in Brazil,Brazil's 2015 Soybean Exports have already Surpassed all of 2014,U.S. Crop Conditions Hold Steady or Decline Slightly,Grain Production in Brazil Increasing Faster than Storage Space,Wheat Production in South America Encountering Obstacles,Input Sales in Mato Grosso Brazil Continue to Lag Last Year,Paranagua Grain Exports to increase 71% over next 3 months,"9,92",0,0
2015-08,Cotton Acreage in Mato Grosso to Increase 2%,Month-By-Month Crop Production Cycle in Brazil,Mato Grosso Farmers Produce Record High Safrinha Corn Yields,U.S. Crop Conditions Hold Steady or Decline Slightly,Grain Production in Brazil Increasing Faster than Storage Space,Wheat Production in South America Encountering Obstacles,Input Sales in Mato Grosso Brazil Continue to Lag Last Year,Paranagua Grain Exports to increase 71% over next 3 months,Trip Report - Eastern Corn Belt,2015/16 Corn Acreage in Argentina Expected to Decline Significantly,"3,88",0,0
2015-08-02,Corn-Based Ethanol Production Promoted in Mato Grosso,"Brazil's ""Soybean Highway"" Frustrates Farmers in Mato Grosso",Brazilian Farmers not required to Purchase Annual License Plates,"Brazil\'s ""Soybean Highway"" Frustrates Farmers in Mato Grosso","U.S. Corn Condition Unchanged, Soybean Condition Up Slightly",U.S. Corn Condition Unchanged Soybean Condition Up Slightly,Ariel photo tour of Indiana and Illinois,Brazil Corn Exports could Set New Record in 2015,,,"3,7",1,0
2015-08-05,"U.S. Corn Condition Unchanged, Soybean Condition Up Slightly",Corn price in Mato Grosso improve due to Weaker Currency,Presence of Rust Spores in Southern Brazil Worries Scientists,U.S. Corn Condition Unchanged Soybean Condition Up Slightly,Ariel photo tour of Indiana and Illinois,"Brazil\'s ""Soybean Highway"" Frustrates Farmers in Mato Grosso",Soybeans Enters Second Century of Production in Rio Grande do Sul,"Brazil's ""Soybean Highway"" Frustrates Farmers in Mato Grosso",,,"3,76",0,-1
2015-08-08,"25% of Brazil's 2015/16 Soy Crop Already Sold, Prices are Good",U.S. Corn Condition Steady Soybeans Improve Slightly,Soybeans Enters Second Century of Production in Rio Grande do Sul,Areas of Concern for the 2015 U.S. Crops,Presence of Rust Spores in Southern Brazil Worries Scientists,25% of Brazil's 2015/16 Soy Crop Already Sold Prices are Good,"U.S. Corn Condition Steady, Soybeans Improve Slightly",Corn price in Mato Grosso improve due to Weaker Currency,,,"3,7",0,0
2015-08-11,25% of Brazil's 2015/16 Soy Crop Already Sold Prices are Good,Areas of Concern for the 2015 U.S. Crops,"Cotton Harvest Progressing in Brazil, Prices Highest since 2012",Presence of Rust Spores in Southern Brazil Worries Scientists,"25% of Brazil's 2015/16 Soy Crop Already Sold, Prices are Good",U.S. Corn Condition Steady Soybeans Improve Slightly,"U.S. Corn Condition Steady, Soybeans Improve Slightly",Corn price in Mato Grosso improve due to Weaker Currency,Cotton Harvest Progressing in Brazil Prices Highest since 2012,,"3,65",1,0
2015-08-14,Cotton Harvest Progressing in Brazil Prices Highest since 2012,2015 Fertilizer Sales in Brazil Continue Slower than in 2014,Brazil Could be Worlds Major Beef Producer by 2020,U.S. vs Brazil in Soybean and Corn Production,Reaction to the August Crop Report,"Cotton Harvest Progressing in Brazil, Prices Highest since 2012",Landless Rural Workers Invade Sugarcane Plantations in Brazil,U.S. Crop Conditions Little Changed this Week,,,"3,66",1,0
2015-08-17,"Cotton Harvest Progressing in Brazil, Prices Highest since 2012",Landless Rural Workers Invade Sugarcane Plantations in Brazil,Brazil Could be Worlds Major Beef Producer by 2020,2015/16 Corn Acreage in Argentina Expected to Decline Significantly,2015 Fertilizer Sales in Brazil Continue Slower than in 2014,U.S. vs Brazil in Soybean and Corn Production,Reaction to the August Crop Report,Cotton Harvest Progressing in Brazil Prices Highest since 2012,U.S. Crop Conditions Little Changed this Week,,"3,67",1,0
2015-08-20,Landless Rural Workers Invade Sugarcane Plantations in Brazil,Trip Report - Eastern Corn Belt,2015/16 Corn Acreage in Argentina Expected to Decline Significantly,Soybean Harvest Starting in Far Northern Brazil,How Might El Nino Impact South American Weather,Flooding in Argentina impacting 2015 Wheat Crop,U.S. Crop Conditions Basically Hold Steady,,,,"3,67",1,0
2015-09,Parana follows Mato Grosso in Prohibiting Safrinha Soy Production,Frost and Wet Weather Result in Lower Brazilian Wheat Production,Parana to follow Mato Grosso and Prohibit Safrinha Soy Production,Brazilians Forward Selling Encouraged by Weaker Currency,Producing Soy and Corn in Brazil Costs More due to Weak Currency,Soybean Rust Cases decline 92% in Mato Grosso do Sul in 10 years,South American Acreage and Production Estimates,Month-By-Month Crop Production Cycle for Argentina,Crop Production Cycle for Paraguay Uruguay and Bolivia,Brazilian Corn Exports need to Ramp Up in order to meet Goal,"3,67",0,-1
2015-09,Parana follows Mato Grosso in Prohibiting Safrinha Soy Production,Southwestern Parana has most Advanced Soybean Planting in Brazil,State of Parana Leads Early Soybean Planting in Brazil,2015/16 Soybean Crop in Brazil 2-3% Planted,Frost and Wet Weather Result in Lower Brazilian Wheat Production,Timid Soybean Planting Pace in Mato Grosso New Regulations,Most Advanced Soybean Planting in Brazil is in the State of Parana,Parana to follow Mato Grosso and Prohibit Safrinha Soy Production,Brazilians Forward Selling Encouraged by Weaker Currency,Producing Soy and Corn in Brazil Costs More due to Weak Currency,"8,94",0,-1
2015-09-04,Cotton Acreage in Mato Grosso to Increase 2%,Month-By-Month Crop Production Cycle in Brazil,Brazil's 2015 Soybean Exports have already Surpassed all of 2014,Dry Beans in Brazil losing Acreage to Soybeans,Farmers in Mato Grosso do Sul have sold 27% of 2015/16 Soy Crop,Early Season Rains falling in Southern and Central Brazil,,,,,"3,69",1,1
2015-09-07,Farmers in Mato Grosso do Sul have sold 27% of 2015/16 Soy Crop,Month-By-Month Crop Production Cycle in Brazil,Dry Beans in Brazil losing Acreage to Soybeans,Early Season Rains falling in Southern and Central Brazil,Estimates Indicate more Soybean Acreage in Brazil in 2015/16,Rain slows Wheat Harvest in Parana increasing Quality Concerns,Cotton Acreage in Mato Grosso to Increase 2%,,,,"3,75",1,1
2015-09-10,Scientists feel Wheat Production could be Successful in Mato Grosso,Early Season Rains falling in Southern and Central Brazil,Total 2015/16 South American Soybean and Corn Production,"Brazil's ""Mega Railroad"" Project discussed in Beijing",Estimates Indicate more Soybean Acreage in Brazil in 2015/16,Farmers in Mato Grosso do Sul have sold 27% of 2015/16 Soy Crop,Argentina's 2015/16 Production - Soybeans Unchanged Corn -15%,"Brazil's 2015/16 Production - Soybeans +3%, Corn Unchanged","Argentina's 2015/16 Production - Soybeans Unchanged, Corn -15%",Brazilian Scientists Worried about Soy Rust on Volunteer Soybeans,"3,86",0,-1
2015-09-13,Brazilian Farmers continue to be Slow Sellers of their 2013/14 Corn,Argentine Farmers have Sold 58% of Last Year's Soy Crop,Argentina's 2015/16 Production - Soybeans Unchanged Corn -15%,Full-Season Corn Acreage in Rio Grande do Sul lowest in 45 Years,"Brazil\'s ""Mega Railroad"" Project discussed in Beijing",Frost Hail Storms Localized Floods in Rio Grande do Sul,Scientists feel Wheat Production could be Successful in Mato Grosso,Total 2015/16 South American Soybean and Corn Production,"Brazil's ""Mega Railroad"" Project discussed in Beijing",Brazil's 2015/16 Production - Soybeans +3% Corn Unchanged,"3,85",0,0
2015-09-19,South American Acreage and Production Estimates,Mato Grosso once again Leads Brazil in Agricultural Receipts,Federal Agricultural Inspectors in Brazil on Strike,El Nino could Impact Spring Weather in Brazil,Dryer Forecast for Central Brazil slows Early Soybean Planting,Soybean Rust Cases decline 92% in Mato Grosso do Sul in 10 years,Month-By-Month Crop Production Cycle for Argentina,,,,"3,84",1,0
2015-09-22,Producing Soy and Corn in Brazil Costs More due to Weak Currency,Mato Grosso once again Leads Brazil in Agricultural Receipts,South American Acreage and Production Estimates,Soybean Rust Cases decline 92% in Mato Grosso do Sul in 10 years,Federal Agricultural Inspectors in Brazil on Strike,El Nino could Impact Spring Weather in Brazil,Dryer Forecast for Central Brazil slows Early Soybean Planting,,,,"3,84",1,1
2015-09-25,Brazilians Forward Selling Encouraged by Weaker Currency,Producing Soy and Corn in Brazil Costs More due to Weak Currency,Most Advanced Soybean Planting in Brazil is in the State of Parana,Parana to follow Mato Grosso and Prohibit Safrinha Soy Production,Ethanol now more Competitive than Gasoline in Brazil,,,,,,"3,88",1,1
2015-09-28,Most Advanced Soybean Planting in Brazil is in the State of Parana,Parana to follow Mato Grosso and Prohibit Safrinha Soy Production,Ethanol now more Competitive than Gasoline in Brazil,Timid Soybean Planting Pace in Mato Grosso New Regulations,"Timid Soybean Planting Pace in Mato Grosso, New Regulations",Brazilians Forward Selling Encouraged by Weaker Currency,,,,,"3,88",1,0
2015-10,Improved Rainfall aids Brazil Soybean Planting Progress,Soy Producers Want Rail Link from Mato Grosso to Amazon River,Soybean Industry Promoting more Biodiesel use in Brazil,Brazil Looking for Farmers Who Can Produce 124 bu/ac Soybeans,Brazil's Corn Exports Ramp up as Soybean Exports Wind Down,Soybean Planting Passes Half Way Mark in Parana,Brazil Soybean Planting Progress Depends on Location,Mato Grosso Farmers Must Now Register Their Soybean Production,Brazilian Soybean Producers at Disadvantage due to High Freight,Soybean Planting Slowed by Dry Weather in Central Brazil,"8,8",0,-1
2015-10,Brazilian Farmers Concerned about Delayed Safrinha Corn Planting,Brazil Exports Record Amount of Corn in October,Brazilian Gov. to Auction new Leases to Operate Grain Terminals,Brazil's Corn Exports Ramp up as Soybean Exports Wind Down,Mato Grosso Farmers Must Now Register Their Soybean Production,Wet Weather at Port of Paranagua Delays Brazilian Corn Exports,Analyst's Estimates for 2015/16 Brazilian Crop Production,,,,"3,87",1,1
2015-10-01,John Deere Inaugurates New Parts and Training Center in Brazil,2015/16 Soybean Crop in Brazil 2-3% Planted,Timid Soybean Planting Pace in Mato Grosso New Regulations,"Timid Soybean Planting Pace in Mato Grosso, New Regulations",State of Parana Leads Early Soybean Planting in Brazil,Most Advanced Soybean Planting in Brazil is in the State of Parana,Frost and Wet Weather Result in Lower Brazilian Wheat Production,Parana to follow Mato Grosso and Prohibit Safrinha Soy Production,,,"3,93",0,-1
2015-10-04,State of Parana Leads Early Soybean Planting in Brazil,Wheat Harvest begins in Rio Grande do Sul Wetness Worries Persist,Southwestern Parana has most Advanced Soybean Planting in Brazil,Parana follows Mato Grosso in Prohibiting Safrinha Soy Production,"Wheat Harvest begins in Rio Grande do Sul, Wetness Worries Persist",John Deere Inaugurates New Parts and Training Center in Brazil,2015/16 Soybean Crop in Brazil 2-3% Planted,Frost and Wet Weather Result in Lower Brazilian Wheat Production,,,"3,92",0,-1
2015-10-07,Analyst's Estimates for 2015/16 Brazilian Crop Production,Conab Releases 1st Estimate of the 2015/16 Growing Season in Brazil,"Wheat Harvest begins in Rio Grande do Sul, Wetness Worries Persist",Parana follows Mato Grosso in Prohibiting Safrinha Soy Production,Wheat Harvest begins in Rio Grande do Sul Wetness Worries Persist,Potential Impact of El Nino on Brazilian Weather Patterns,John Deere Inaugurates New Parts and Training Center in Brazil,Southwestern Parana has most Advanced Soybean Planting in Brazil,State of Parana Leads Early Soybean Planting in Brazil,,"3,87",0,-1
2015-10-10,Potential Impact of El Nino on Brazilian Weather Patterns,Analyst's Estimates for 2015/16 Brazilian Crop Production,Brazilian Soybean Producers at Disadvantage due to High Freight,Biodiesel in Brazil May Now Contain More Vegetable Oil,Soybean Planting Slowed by Dry Weather in Central Brazil,Embrapa Falling Behind in Research Funding,Conab Releases 1st Estimate of the 2015/16 Growing Season in Brazil,Southern Brazil Continues to Receive Heavy Rainfall,,,"3,79",0,0
2015-10-13,Brazilian Soybean Producers at Disadvantage due to High Freight,Potential Impact of El Nino on Brazilian Weather Patterns,Wet Weather at Port of Paranagua Delays Brazilian Corn Exports,Soybean Planting Slowed by Dry Weather in Central Brazil,Analyst's Estimates for 2015/16 Brazilian Crop Production,Embrapa Falling Behind in Research Funding,Biodiesel in Brazil May Now Contain More Vegetable Oil,Southern Brazil Continues to Receive Heavy Rainfall,,,"3,78",1,0
